adm_area,mun_district,gkh_address,gkh_total_floors,is_total_floors_variable,geo_lat,geo_lon,overlap_material,skeleton,wall_material,category,residents_qty,construction_year,ceiling_height,passenger_elevators_qty,condition,gkh_metro_station,metro_km,metro_min,gkh_cadastr_num,code_KLADR,global_repair_date,is_renov,renov_period,building_page_url,addr_winner
Северо-Западный,Тушино Южное,"г. москва, ул. сходненская, д. 12, к. 1",22.0,,55.83913,37.43937,,,,,,2021.0,267.0,,Исправный,Сходненская,1.3,20.0,77:08:0004014:3829,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354931,
Юго-Восточный,Нижегородский,"г. москва, ул. нижегородская, д. 76, к. 1",14.0,,55.73222,37.71403,,Монолитный,,,,2022.0,270.0,,,Калитники,0.8,12.0,77:04:0001020:7355,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354859,
Северо-Восточный,Медведково Северное,"г. москва, ул. полярная, д. 22",16.0,,55.87993,37.63832,Железобетонные,Панельный,Крупнопанельные,,,2017.0,265.0,2.0,Исправный,Медведково,1.7,26.0,77:02:0004007:5801,7.70000000002344e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=321724,
Троицкий,ГО Троицк,"г. москва, г. троицк, ул. академика черенкова, д. 15",7.0,,55.46587,37.28542,,Панельный,,,,2021.0,270.0,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354951,
Восточный,Богородское,"г. москва, ул. миллионная, д. 3, к. 1",13.0,,55.81583000000001,37.69617,,Монолитный,,,,2020.0,273.0,2.0,,Белокаменная,1.6,24.0,77:03:0002020:9954,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=353272,
Северо-Восточный,Бабушкинский,"г. москва, ул. осташковская, д. 9, к. 2",19.0,,55.87758,37.67683,,Монолитный,,,,2022.0,270.0,,,Бабушкинская,1.25,19.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354972,
Юго-Западный,Черемушки,"г. москва, пр-кт. севастопольский, д. 28, к. 9",14.0,,55.66393000000001,37.57163,,Монолитный,,,,2021.0,270.0,,,Зюзино,0.95,15.0,77:06:0004008:13632,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354982,
Восточный,Измайлово Северное,"г. москва, ул. парковая 5-я, д. 62б",18.0,,55.80796,37.78982,Железобетонные,Монолит-Кирпич,Железобетонные,,,2018.0,275.0,3.0,Исправный,Щелковская,0.65,10.0,77:03:0005010:7801,7.70000000002218e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=320905,
Юго-Восточный,Нижегородский,"г. москва, ш. фрезер, д. 7/2",14.0,,55.73991,37.73674000000001,Железобетонные,Панельный,,,,2020.0,260.0,2.0,Исправный,Андроновка,0.7,11.0,77:04:0002001:8313,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=353915,
Юго-Западный,Котловка,"г. москва, пр-кт. севастопольский, д. 22",18.0,,55.68094,37.59587,Железобетонные,Монолитный,Крупнопанельные,,,2018.0,270.0,3.0,Исправный,Крымская,1.25,19.0,77:06:0002015:4500,7.70000000002592e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=320874,
Юго-Западный,Котловка,"г. москва, ул. нагорная, д. 13",14.0,,55.67965,37.60811,Железобетонные,Монолитный,,,,2018.0,,2.0,Исправный,Нагорная,0.8,12.0,77:06:0002018:5872,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=353846,
Западный,Фили-Давыдково,"г. москва, ул. филевская м., д. 22",22.0,1.0,55.73692,37.46537,Железобетонные,Монолитный,Железобетонные Монолитные,муниципальный,,2018.0,270.0,5.0,Исправный,Пионерская,0.2,3.0,77:07:0005001:9826,7.70000000002992e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=19653,
Западный,Проспект Вернадского,"г. москва, пр-кт. вернадского, д. 58",22.0,1.0,55.67271,37.49411,,Монолитный,Бетонные Монолитные,,,2017.0,275.0,,,Проспект Вернадского,0.9,14.0,77:07:0013006:23141,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=323843,
Западный,Проспект Вернадского,"г. москва, пр-кт. вернадского, д. 56",14.0,1.0,55.67264,37.4953,Железобетонные,Монолитный,Железобетонные Монолитные,,,2017.0,275.0,2.0,Исправный,Проспект Вернадского,0.85,13.0,77:07:0013006:23479,7.70000000000953e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=323842,
Западный,Проспект Вернадского,"г. москва, пр-кт. вернадского, д. 69",23.0,,55.67093000000001,37.50603,Железобетонные,Монолитный,Железобетонные Монолитные,,211.0,2016.0,270.0,4.0,Исправный,Проспект Вернадского,0.75,12.0,77:07:0013007:23079,7.70000000000953e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=294090,
Западный,Проспект Вернадского,"г. москва, пр-кт. вернадского, д. 73",17.0,,55.67241,37.50702,Железобетонные,Монолитный,,,,2018.0,270.0,2.0,Исправный,Проспект Вернадского,0.6,9.0,77:07:0013007:23329,7.70000000000953e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=337416,
Северо-Западный,Хорошево-Мневники,"г. москва, наб. карамышевская, д. 60",20.0,,55.77555,37.46103,Железобетонные,Монолитный,Бетонные Монолитные,,,2016.0,,2.0,Исправный,Народное Ополчение,1.55,24.0,77:08:0010010:5595,7.70000000001435e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=320799,
Северный,Тимирязевский,"г. москва, ул. тимирязевская, д. 8, к. 2",8.0,,55.810930000000006,37.56913,,,,,,2020.0,270.0,1.0,,Дмитровская,0.75,11.0,77:09:0003023:14015,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=321560,
Северо-Западный,Щукино,"г. москва, ул. маршала вершинина, д. 4, к. 1",5.0,,55.79213000000001,37.48892,Железобетонные,Блочный,Крупноблочные,муниципальный,,1964.0,258.0,,Исправный,Октябрьское Поле,0.35,5.0,77:08:0009026:1002,7.70000000000957e+16,,1.0,2025-2028,https://flatinfo.ru/h_info1.asp?hid=41112,
Северо-Восточный,Медведково Южное,"г. москва, ул. полярная, д. 1, к. 2",17.0,,55.87177,37.63585,Железобетонные,Панельный,Крупнопанельные,,,2017.0,275.0,2.0,Исправный,Бабушкинская,1.85,28.0,77:02:0006002:15154,7.70000000002344e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=321791,
Северный,Бескудниковский,"г. москва, ш. дмитровское, д. 68",18.0,1.0,55.85875,37.55985,Железобетонные,Панельный,Кирпичные,муниципальный,,2016.0,275.0,2.0,Исправный,Верхние Лихоборы,0.3,5.0,77:09:0002026:14760,7.70000000000335e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=56205,
Северный,Бескудниковский,"г. москва, б-р. бескудниковский, д. 13",18.0,1.0,55.86366,37.55851,Железобетонные,Кирпичный,Железобетонные,,,2016.0,280.0,2.0,Исправный,Верхние Лихоборы,0.85,13.0,77:09:0002026:16157,7.70000000000852e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=310898,
Северный,Бескудниковский,"г. москва, ш. дмитровское, д. 70",25.0,1.0,55.859730000000006,37.55908,Железобетонные,Панельный,,муниципальный,,2019.0,275.0,2.0,Исправный,Верхние Лихоборы,0.4,6.0,77:09:0002026:17296,7.70000000000335e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=56204,
Северо-Восточный,Медведково Северное,"г. москва, проезд. заревый, д. 9",15.0,,55.88485,37.65658,Железобетонные,Панельный,Железобетонные,,,2017.0,264.0,2.0,Исправный,Медведково,0.4,6.0,77:02:0004006:5874,7.70000000001314e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=322630,
Юго-Восточный,Южнопортовый,"г. москва, ул. петра романова, д. 18",12.0,,55.70433000000001,37.68248,Железобетонные,Монолитный,,,,2021.0,272.0,2.0,Исправный,Кожуховская,0.35,5.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354003,
Троицкий,СП Михайлово-Ярцевское,"г. москва, п. михайлово-ярцевское, п. секерино, д. 1а",3.0,,55.41865,37.1511,Железобетонные,Смешанный тип,Из прочих материалов,,54.0,2013.0,,,Исправный,Отсутствует в пешей доступности,20.0,90.0,77:22:0030118:584,7701000001200.0,,0.0,,https://flatinfo.ru/h_info1.asp?hid=267231,
Новомосковский,СП Десеновское,"г. москва, ул. кварцевая, д. 5, к. 2",12.0,,55.48872,37.33627,,,,,,2022.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385475,
Новомосковский,СП Десеновское,"г. москва, п. десеновское, ул. кварцевая, д. 2, к. 4",12.0,,55.49173,37.33588,,,,,,2022.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385465,
Новомосковский,СП Десеновское,"г. москва, ул. кварцевая, д. 2, к. 4",12.0,,55.49173,37.33588,,,,,,2022.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385465,
Новомосковский,СП Десеновское,"г. москва, ул. кварцевая, д. 3, к. 2",12.0,,55.48969,37.33874,,,,,,2022.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385473,
Троицкий,ГО Троицк,"г. москва, г. троицк, ул. академика черенкова, д. 17",7.0,,55.46486,37.28461,,,,,,2021.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354950,
Северный,Бескудниковский,"г. москва, б-р. бескудниковский, д. 5",20.0,1.0,55.85953000000001,37.56116,Железобетонные,Панельный,Крупноблочные,,,2017.0,270.0,2.0,Исправный,Верхние Лихоборы,0.45,7.0,77:09:0002026:14995,7.70000000000852e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=323019,
