lot_tag,addr_norm,adm_area,mun_district,metro_name,metro_dist,metro_minutes,addr_floor,total_floors,year_exp_w,реновация,ремонт,qty_rooms,is_qty_rooms_predicted,obj_square,start_price,start_price_m2,final_price,final_price_m2,delta_price,auct_date,investMSK_URL,lot_URL,platform_name,timestamp,building_page,Примечания
#ГП16879951,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,13,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,51.0,6372909,124959.0,8361256,124959.0,,2020-09-08,https://investmoscow.ru/tenders/tendercard/?TenderId=17612663,https://www.roseltorg.ru/procedure/COM30062000166,ЕЭТП,1599523200,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879923,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,11,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,51.0,6306609,123659.0,8463469,123659.0,,2020-09-08,https://investmoscow.ru/tenders/tendercard/?TenderId=17612647,https://www.roseltorg.ru/procedure/COM30062000147,ЕЭТП,1599523200,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879959,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,5,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,51.0,6113880,119880.0,8327104,119880.0,,2020-09-08,https://investmoscow.ru/tenders/tendercard/?TenderId=17612709,https://www.roseltorg.ru/procedure/COM30062000127,ЕЭТП,1599523200,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879786,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,3,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,51.0,6053649,118699.0,8317714,118699.0,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609423,https://www.roseltorg.ru/procedure/COM26062000097,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879798,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,5,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,51.0,6113880,119880.0,8376015,119880.0,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609470,https://www.roseltorg.ru/procedure/COM26062000090,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16880042,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,5,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,51.1,6125868,119880.0,8563964,119880.0,,2020-09-15,https://investmoscow.ru/tenders/tendercard/?TenderId=17613057,https://www.roseltorg.ru/procedure/COM02072000099,ЕЭТП,1600128000,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16880070,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,10,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,51.1,6288826,123069.0,8452181,123069.0,,2020-09-15,https://investmoscow.ru/tenders/tendercard/?TenderId=17613031,https://www.roseltorg.ru/procedure/COM02072000102,ЕЭТП,1600128000,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16880147,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,13,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,51.1,6385405,124959.0,8505359,124959.0,,2020-09-15,https://investmoscow.ru/tenders/tendercard/?TenderId=17613188,https://www.roseltorg.ru/procedure/COM02072000082,ЕЭТП,1600128000,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879949,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,10,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,51.2,6294886,122946.99,8384787,122946.99,,2020-09-08,https://investmoscow.ru/tenders/tendercard/?TenderId=17612741,https://www.roseltorg.ru/procedure/COM30062000100,ЕЭТП,1599523200,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879927,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,12,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,51.2,6355302,124126.99,8274602,124126.99,,2020-09-08,https://investmoscow.ru/tenders/tendercard/?TenderId=17612660,https://www.roseltorg.ru/procedure/COM30062000164,ЕЭТП,1599523200,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
