adm_area,mun_district,gkh_address,gkh_total_floors,is_total_floors_variable,geo_lat,geo_lon,overlap_material,skeleton,wall_material,category,residents_qty,construction_year,ceiling_height,passenger_elevators_qty,condition,gkh_metro_station,metro_km,metro_min,gkh_cadastr_num,code_KLADR,global_repair_date,is_renov,renov_period,building_page_url,addr_winner
Новомосковский,СП Сосенское,"г. москва, п. коммунарка, ул. фитаревская, д. 19, к. 1",25.0,1.0,55.566280000000006,37.47846,Железобетонные,Смешанный тип,Из прочих материалов,,,2013.0,,2.0,Исправный,Коммунарка,0.95,14.0,77:17:0120303:3937,7.70170000020007e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=242859,
Новомосковский,СП Сосенское,"г. москва, п. коммунарка, ул. фитаревская, д. 17, к. 1",25.0,,55.566869999999994,37.47858,Железобетонные,Смешанный тип,Из прочих материалов,,,2013.0,,3.0,Исправный,Коммунарка,1.0,15.0,77:17:0120303:3202,7.70170000020007e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=242858,
Западный,Раменки,"г. москва, ул. раменки, д. 7, к. 1",17.0,,55.69275,37.49691,железобетонные,Панельный,Крупнопанельные,муниципальный,706.0,1985.0,264.0,1.0,Исправный,Раменки,0.6,9.0,77:07:0013005:1028,7.70000000002448e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=70119,"раменки ул., 7к1"
Восточный,Соколиная Гора,"г. москва, проезд. окружной, д. 10г",24.0,,55.7929,37.7413,,Монолитный,,,,2024.0,,,,Измайлово,0.55,8.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=368947,"окружной пр-д, 10г"
Восточный,Метрогородок,"г. москва, ул. тагильская, д. 4, к. 2",25.0,,55.81879,37.75003,,,,,,2023.0,,,,Бульвар Рокоссовского,1.1,17.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=379307,"тагильская ул., 4к2"
Юго-Западный,Черемушки,"г. москва, ул. наметкина, д. 10д",24.0,,55.66014000000001,37.55138,,,,,,2023.0,,,,Воронцовская,0.8,12.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385790,"наметкина ул., 10д"
Западный,Дорогомилово,"г. москва, проезд. кутузовский, д. 16а/1",45.0,,55.74508,37.52259,,,,,,2023.0,,,,Фили,0.5,8.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385781,"кутузовский пр-д, 16а/1"
Северо-Западный,Покровское-Стрешнево,"г. москва, ш. волоколамское, д. 71, к. 9",24.0,,55.8153,37.42929,,,,,,2023.0,,,,Спартак,0.55,8.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=383929,"волоколамское ш., 71к9"
Западный,Кунцево,"г. москва, ул. академика павлова, д. 56",33.0,,55.7488,37.4091,Железобетонные,Панельный,Крупнопанельные,,,2023.0,255.0,,Исправный,Крылатское,0.95,14.0,77:07:0004002:1079,7.70000000002187e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=26553,"академика павлова ул., 56"
Центральный,Якиманка,"г. москва, ул. мытная, д. 40, к. 3",29.0,,55.72286,37.61465,,,,,,2017.0,,,,Шаболовская,0.65,10.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=231983,"мытная ул., 40к3"
