lot_tag,auct_type,object_type,cadastr_num,adm_area,mun_district,addr_norm,flat_num,qty_rooms,addr_floor,total_floors,is_total_floors_variable,obj_square,start_price,start_price_m2,deposit,auct_step,auct_form,start_applications_date,finish_application_date,participant_selection_date,bidding_date,results_date,inf_sales,inf_food_service,inf_education,inf_cult_and_sport,inf_consumer_services,inf_health_care,geo_lat,geo_lon,overlap_material,skeleton,wall_material,category,residents_qty,construction_year,ceiling_height,passenger_elevators_qty,condition,gkh_metro_station,metro_km,metro_min,code_KLADR,global_repair_date,is_renov,renov_period,documentation_expl,documentation_photo,roseltorg_url,torgi_url,investmoscow_url,building_page_url
#ГП16939430,Продажа,Квартира,77:02:0004001:3250,Северо-Восточный,Медведково Северное,"г. Москва, проезд. Студеный, д. 19",138.0,2,12,12.0,0.0,38.6,6066000,157150.26,303300,60660,Открытый аукцион в электронной форме,2023-10-26,2023-11-27,2023-12-04,2023-12-07,2023-12-07,152,33,17,32,42,8,55.893390000000004,37.67033,Железобетонные,Блочный,Крупноблочные,федеральный,389.0,1981.0,258.0,2.0,Исправный,Медведково,0.95,14.0,7.7000000000282e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016360,https://torgi.gov.ru/new/public/notices/view/21000005000000016360,https://investmoscow.ru/tenders/tender/19379204,https://flatinfo.ru/h_info1.asp?hid=61304
#ГП16939428,Продажа,Квартира,77:02:0004001:3180,Северо-Восточный,Медведково Северное,"г. Москва, проезд. Студеный, д. 19",67.0,1,6,12.0,0.0,18.2,3706000,203626.37,185300,37060,Открытый аукцион в электронной форме,2023-10-26,2023-11-27,2023-12-04,2023-12-07,2023-12-07,152,33,17,32,42,8,55.893390000000004,37.67033,Железобетонные,Блочный,Крупноблочные,федеральный,389.0,1981.0,258.0,2.0,Исправный,Медведково,0.95,14.0,7.7000000000282e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016362,https://torgi.gov.ru/new/public/notices/view/21000005000000016362,https://investmoscow.ru/tenders/tender/19378227,https://flatinfo.ru/h_info1.asp?hid=61304
#ГП16939431,Продажа,Квартира,77:02:0004001:3159,Северо-Восточный,Медведково Северное,"г. Москва, проезд. Студеный, д. 19",45.0,1,5,12.0,0.0,38.6,6925000,179404.15,346250,69250,Открытый аукцион в электронной форме,2023-10-26,2023-11-27,2023-12-04,2023-12-07,2023-12-07,152,33,17,32,42,8,55.893390000000004,37.67033,Железобетонные,Блочный,Крупноблочные,федеральный,389.0,1981.0,258.0,2.0,Исправный,Медведково,0.95,14.0,7.7000000000282e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016359,https://torgi.gov.ru/new/public/notices/view/21000005000000016359,https://investmoscow.ru/tenders/tender/19379620,https://flatinfo.ru/h_info1.asp?hid=61304
#ГП16939396,Продажа,Квартира,77:17:0120303:9892,Новомосковский,СП Сосенское,"г. Москва, п. Коммунарка, ул. Фитаревская, д. 21",11.0,2,2,25.0,0.0,56.1,10776000,192085.56,538800,107760,Открытый аукцион в электронной форме,2023-10-24,2023-11-27,2023-12-04,2023-12-07,2023-12-07,64,11,4,7,20,5,55.565380000000005,37.47876,Железобетонные,Монолитный,Из прочих материалов,Нет данных,-1.0,2014.0,-1.0,3.0,Исправный,Коммунарка,0.9,14.0,7.70170000020007e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016298,https://torgi.gov.ru/new/public/notices/view/21000005000000016298,https://investmoscow.ru/tenders/tender/19373959,https://flatinfo.ru/h_info1.asp?hid=242860
#ГП16939394,Продажа,Квартира,77:17:0120303:9885,Новомосковский,СП Сосенское,"г. Москва, п. Коммунарка, ул. Фитаревская, д. 21",6.0,2,1,25.0,0.0,57.5,10127000,176121.74,506350,101270,Открытый аукцион в электронной форме,2023-10-24,2023-11-27,2023-12-04,2023-12-07,2023-12-07,64,11,4,7,20,5,55.565380000000005,37.47876,Железобетонные,Монолитный,Из прочих материалов,Нет данных,-1.0,2014.0,-1.0,3.0,Исправный,Коммунарка,0.9,14.0,7.70170000020007e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016297,https://torgi.gov.ru/new/public/notices/view/21000005000000016297,https://investmoscow.ru/tenders/tender/19373837,https://flatinfo.ru/h_info1.asp?hid=242860
#ГП16939397,Продажа,Квартира,77:17:0120303:9884,Новомосковский,СП Сосенское,"г. Москва, п. Коммунарка, ул. Фитаревская, д. 21",10.0,2,2,25.0,0.0,45.4,8489000,186982.38,424450,84890,Открытый аукцион в электронной форме,2023-10-24,2023-11-27,2023-12-04,2023-12-07,2023-12-07,64,11,4,7,20,5,55.565380000000005,37.47876,Железобетонные,Монолитный,Из прочих материалов,Нет данных,-1.0,2014.0,-1.0,3.0,Исправный,Коммунарка,0.9,14.0,7.70170000020007e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016299,https://torgi.gov.ru/new/public/notices/view/21000005000000016299,https://investmoscow.ru/tenders/tender/19374028,https://flatinfo.ru/h_info1.asp?hid=242860
#ГП16939403,Продажа,Квартира,77:17:0120303:9891,Новомосковский,СП Сосенское,"г. Москва, п. Коммунарка, ул. Фитаревская, д. 21",7.0,2,1,25.0,0.0,46.5,8255000,177526.88,412750,82550,Открытый аукцион в электронной форме,2023-10-25,2023-11-27,2023-12-04,2023-12-07,2023-12-07,64,11,4,7,20,5,55.565380000000005,37.47876,Железобетонные,Монолитный,Из прочих материалов,Нет данных,-1.0,2014.0,-1.0,3.0,Исправный,Коммунарка,0.9,14.0,7.70170000020007e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016337,https://torgi.gov.ru/new/public/notices/view/21000005000000016337,https://investmoscow.ru/tenders/tender/19374638,https://flatinfo.ru/h_info1.asp?hid=242860
#ГП16939402,Продажа,Квартира,77:17:0120303:9899,Новомосковский,СП Сосенское,"г. Москва, п. Коммунарка, ул. Фитаревская, д. 21",17.0,2,2,25.0,0.0,45.4,8791000,193634.36,439550,87910,Открытый аукцион в электронной форме,2023-10-25,2023-11-27,2023-12-04,2023-12-07,2023-12-07,64,11,4,7,20,5,55.565380000000005,37.47876,Железобетонные,Монолитный,Из прочих материалов,Нет данных,-1.0,2014.0,-1.0,3.0,Исправный,Коммунарка,0.9,14.0,7.70170000020007e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016338,https://torgi.gov.ru/new/public/notices/view/21000005000000016338,https://investmoscow.ru/tenders/tender/19374358,https://flatinfo.ru/h_info1.asp?hid=242860
#ГП16939408,Продажа,Квартира,77:17:0120303:4183,Новомосковский,СП Сосенское,"г. Москва, п. Коммунарка, ул. Фитаревская, д. 19, к. 1",133.0,2,1,25.0,1.0,56.6,9418000,166395.76,470900,94180,Открытый аукцион в электронной форме,2023-10-24,2023-11-27,2023-12-04,2023-12-07,2023-12-07,75,13,4,10,24,5,55.566280000000006,37.47846,Железобетонные,Смешанный тип,Из прочих материалов,Нет данных,-1.0,2013.0,-1.0,2.0,Исправный,Коммунарка,0.95,14.0,7.70170000020007e+16,Нет данных,0.0,1.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016300,https://torgi.gov.ru/new/public/notices/view/21000005000000016300,https://investmoscow.ru/tenders/tender/19376131,https://flatinfo.ru/h_info1.asp?hid=242859
#ГП16939462,Продажа,Квартира,77:17:0120303:4187,Новомосковский,СП Сосенское,"г. Москва, п. Коммунарка, ул. Фитаревская, д. 19, к. 1",7.0,2,1,25.0,1.0,56.4,9718000,172304.96,485900,97180,Открытый аукцион в электронной форме,2023-10-27,2023-11-27,2023-12-04,2023-12-07,2023-12-07,75,13,4,10,24,5,55.566280000000006,37.47846,Железобетонные,Смешанный тип,Из прочих материалов,Нет данных,-1.0,2013.0,-1.0,2.0,Исправный,Коммунарка,0.95,14.0,7.70170000020007e+16,Нет данных,0.0,1.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016386,https://torgi.gov.ru/new/public/notices/view/21000005000000016386,https://investmoscow.ru/tenders/tender/19378715,https://flatinfo.ru/h_info1.asp?hid=242859
